
Conex�es ativas

  Proto  Endere�o local         Endere�o externo       Estado           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       9884
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1828
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING       9884
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       2232
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       4708
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       4108
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1560
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1384
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2152
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3016
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4380
  TCP    0.0.0.0:49689          0.0.0.0:0              LISTENING       1464
  TCP    0.0.0.0:64036          0.0.0.0:0              LISTENING       14444
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       4672
  TCP    127.0.0.1:5432         0.0.0.0:0              LISTENING       9884
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING       5656
  TCP    127.0.0.1:6379         0.0.0.0:0              LISTENING       9884
  TCP    127.0.0.1:15292        0.0.0.0:0              LISTENING       24656
  TCP    127.0.0.1:15393        0.0.0.0:0              LISTENING       24656
  TCP    127.0.0.1:16494        0.0.0.0:0              LISTENING       24656
  TCP    127.0.0.1:19292        0.0.0.0:0              LISTENING       26032
  TCP    127.0.0.1:53749        127.0.0.1:53750        ESTABLISHED     24988
  TCP    127.0.0.1:53750        127.0.0.1:53749        ESTABLISHED     24988
  TCP    127.0.0.1:59806        0.0.0.0:0              LISTENING       37008
  TCP    127.0.0.1:59810        0.0.0.0:0              LISTENING       7576
  TCP    127.0.0.1:59810        127.0.0.1:59811        ESTABLISHED     7576
  TCP    127.0.0.1:59810        127.0.0.1:59823        ESTABLISHED     7576
  TCP    127.0.0.1:59811        127.0.0.1:59810        ESTABLISHED     37008
  TCP    127.0.0.1:59823        127.0.0.1:59810        ESTABLISHED     34204
  TCP    127.0.0.1:59824        0.0.0.0:0              LISTENING       34204
  TCP    127.0.0.1:59824        127.0.0.1:59825        ESTABLISHED     34204
  TCP    127.0.0.1:59825        127.0.0.1:59824        ESTABLISHED     7576
  TCP    127.0.0.1:59826        0.0.0.0:0              LISTENING       34204
  TCP    127.0.0.1:59826        127.0.0.1:59827        ESTABLISHED     34204
  TCP    127.0.0.1:59827        127.0.0.1:59826        ESTABLISHED     37008
  TCP    127.0.0.1:59828        0.0.0.0:0              LISTENING       37008
  TCP    127.0.0.1:59828        127.0.0.1:59829        ESTABLISHED     37008
  TCP    127.0.0.1:59828        127.0.0.1:59830        ESTABLISHED     37008
  TCP    127.0.0.1:59829        127.0.0.1:59828        ESTABLISHED     34204
  TCP    127.0.0.1:59830        127.0.0.1:59828        ESTABLISHED     34204
  TCP    127.0.0.1:61279        127.0.0.1:61280        ESTABLISHED     23232
  TCP    127.0.0.1:61280        127.0.0.1:61279        ESTABLISHED     23232
  TCP    127.0.0.1:61281        127.0.0.1:61282        ESTABLISHED     22600
  TCP    127.0.0.1:61282        127.0.0.1:61281        ESTABLISHED     22600
  TCP    127.0.0.1:64524        127.0.0.1:64525        ESTABLISHED     2844
  TCP    127.0.0.1:64525        127.0.0.1:64524        ESTABLISHED     2844
  TCP    169.254.141.241:139    0.0.0.0:0              LISTENING       4
  TCP    169.254.188.22:139     0.0.0.0:0              LISTENING       4
  TCP    169.254.219.24:139     0.0.0.0:0              LISTENING       4
  TCP    169.254.230.77:139     0.0.0.0:0              LISTENING       4
  TCP    169.254.255.96:139     0.0.0.0:0              LISTENING       4
  TCP    172.27.208.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.15.23:139      0.0.0.0:0              LISTENING       4
